Non-native Plant List,Non-native Animal List,,,,,Class B,Genus_species,Invasive_class,,,,,,,,,,
Ligustrum obtusifolium,,,,,,,Eragrostis pectinacea var. miserrima,VT Flora outside NA,,,,,,,,,,
Linaria maroccana,,,,,,,Erucastrum gallicum,VT Flora outside NA,,,,,,,,,,
Linum perenne,,,,,,,Eryginum planum,VT Flora outside NA,,,,,,,,,,
Lonicera japonica,,,,,,,Erysimum virgatum,VT Flora outside NA,,,,,,,,,,
Lonicera maackii,,,,,,,Euonymus alatus,VT Flora outside NA,,,,,,,,,,
Lonicera morrowii,,,,,,,Euonymus fortunei,VT Flora outside NA,,,,,,,,,,
Lonicera tatarica,,,,,,,Euphorbia polychroma,VT Flora outside NA,,,,,,,,,,
Lonicera x bella,,,,,,,Festuca rubra ssp. Commutata,VT Flora outside NA,,,,,,,,,,
Lonicera xylosteum,,,,,,,Festuca valesiaca,VT Flora outside NA,,,,,,,,,,
Lunaria annua,,,,,,,Gagea fragifera,VT Flora outside NA,,,,,,,,,,
Lysimachia vulgaris,,,,,,,Genista tinctoria,VT Flora outside NA,,,,,,,,,,
Lythrum salicaria,,,,,,,Geranium aequale,VT Flora outside NA,,,,,,,,,,
Malus baccata,,,,,,,Geum urbanum,VT Flora outside NA,,,,,,,,,,
Malus floribunda,,,,,,,Glycine max,VT Flora outside NA,,,,,,,,,,
Malus sieboldii,,,,,,,Heracleum mantegazzianum,VT Flora outside NA,,,,,,,,,,
Mentha x villosa var. alopecuroides,,,,,,,Hieracium murorum,VT Flora outside NA,,,,,,,,,,
Microstegium vimineum,,,,,,,Hieracium sabaudum,VT Flora outside NA,,,,,,,,,,
Miscanthus sacchariflorus,,,,,,,Hydrocharis morsus-ranae,VT Flora outside NA,,,,,,,,,,
Morella caroliniensis,,,,,,,Hylotelephium erythrosticum,VT Flora outside NA,,,,,,,,,,
Mycelis muralis,,,,,,,Iberis sempervirens,VT Flora outside NA,,,,,,,,,,
Myosotis micrantha,,,,,,,Ipomoea hederifolia,VT Flora outside NA,,,,,,,,,,
Myriophyllum heterophyllum,,,,,,,Iris sibirica,VT Flora outside NA,,,,,,,,,,
Myriophyllum spicatum,,,,,,,Juncus compressus,VT Flora outside NA,,,,,,,,,,
Najas minor,,,,,,,Kolkwitzia amabilis,VT Flora outside NA,,,,,,,,,,
Narcissus pseudo-narcissus,,,,,,,Lamium galeobdolon,VT Flora outside NA,,,,,,,,,,
Nardus stricta,,,,,,,Lamium purpureum var. purpureum,VT Flora outside NA,,,,,,,,,,
Nigella damascena,,,,,,,Lavandula angustifolia,VT Flora outside NA,,,,,,,,,,
Nitellopsis obtusa,,,,,,,Lespedeza bicolor,VT Flora outside NA,,,,,,,,,,
Nymphoides peltata,,,,,,,Ligustrum obtusifolium,VT Flora outside NA,,,,,,,,,,
Oenothera villosa,,,,,,,Linaria maroccana,VT Flora outside NA,,,,,,,,,,
Orobanche minor,,,,,,,Linum perenne,VT Flora outside NA,,,,,,,,,,
Paeonia lactifolia,,,,,,,Lonicera maackii,VT Flora outside NA,,,,,,,,,,
Papaver rhoeas,,,,,,,Lunaria annua,VT Flora outside NA,,,,,,,,,,
Pastinaca sativa,,,,,,,Lysimachia vulgaris,VT Flora outside NA,,,,,,,,,,
Paulownia tomentosa,,,,,,,Malus baccata,VT Flora outside NA,,,,,,,,,,
Persicaria longiseta,,,,,,,Malus floribunda,VT Flora outside NA,,,,,,,,,,
Persicaria perfoliata,,,,,,,Malus sieboldii,VT Flora outside NA,,,,,,,,,,
Petasites hybridus,,,,,,,Mentha x villosa var. alopecuroides,VT Flora outside NA,,,,,,,,,,
Petunia x atkinsiana,,,,,,,Miscanthus sacchariflorus,VT Flora outside NA,,,,,,,,,,
