"species","year","cum_species"
"Erigeron hyssopifolius",1871,477
"Fraxinus nigra",1871,477
"Polycauliona candelaria",1871,477
"Brachyelytrum aristosum",1871,477
"Anaphalis margaritacea",1872,492
"Epigaea repens",1872,492
"Spinus tristis",1872,492
"Sphyrapicus varius",1872,492
"Setophaga virens",1872,492
"Junco hyemalis",1872,492
"Catharus guttatus",1872,492
"Sanguinaria canadensis",1872,492
"Bonasa umbellus",1872,492
"Mniotilta varia",1872,492
"Tyrannus tyrannus",1872,492
"Eriophorum virginicum",1872,492
"Antennaria neglecta",1872,492
"Cardellina canadensis",1872,492
"Ribes americanum",1872,492
"Dicksonia punctiloba",1873,515
"Alopecurus aequalis",1873,515
"Luzula bulbosa",1873,515
"Poa glauca",1873,515
"Moneses uniflora",1873,515
"Carex torta",1873,515
"Alnus incana",1873,515
"Dryopteris clintoniana",1873,515
"Deparia acrostichoides",1873,515
"Amelanchier arborea",1873,515
"Rubus pubescens",1873,515
"Carex hirtifolia",1873,515
"Juncus filiformis",1873,515
"Cryptogramma stelleri",1873,515
"Lycopus uniflorus",1873,515
"Viola renifolia",1873,515
"Solidago gigantea",1873,515
"Potamogeton richardsonii",1873,515
"Lanius ludovicianus",1873,515
"Carex vesicaria",1873,515
"Carex buxbaumii",1873,515
"Alosa sapidissima",1873,515
"Primula mistassinica",1873,515
"Solidago hispida",1874,536
"Homalosorus pycnocarpos",1874,536
"Lycoperdon pulcherrimum",1874,536
"Blitum capitatum",1874,536
"Maianthemum trifolium",1874,536
"Solidago randii",1874,536
"Physconia pulverulenta",1874,536
"Erythronium americanum",1874,536
"Utricularia cornuta",1874,536
"Claytonia caroliniana",1874,536
"Persicaria virginiana",1874,536
"Lappula squarrosa",1874,536
"Peltigera rufescens",1874,536
"Chenopodiastrum simplex",1874,536
"Scutellaria parvula",1874,536
"Dolichousnea longissima",1874,536
"Botrychium matricariifolium",1874,536
"Leptogium acadiense",1874,536
"Agrostis perennans",1874,536
"Calla palustris",1874,536
"Pyrola chlorantha",1874,536
"Cladonia crispata",1875,560
"Polygonum douglasii",1875,560
"Cladonia fimbriata",1875,560
"Cladonia gracilis",1875,560
"Parmotrema perlatum",1875,560
"Picea glauca",1875,560
"Scheuchzeria palustris",1875,560
"Pertusaria hymenea",1875,560
"Verbena hastata",1875,560
"Fallopia scandens",1875,560
"Eriophorum tenellum",1875,560
"Asplenium ruta-muraria",1875,560
"Bryoerythrophyllum recurvirostrum",1875,560
"Parmelia sulcata",1875,560
"Cladonia furcata",1875,560
"Pylaisiella intricata",1875,560
"Pylaisia polyantha",1875,560
"Utricularia intermedia",1875,560
"Carex novae-angliae",1875,560
"Asio otus",1875,560
"Carex lupulina",1875,560
"Puma concolor",1875,560
"Cladonia pyxidata",1875,560
"Cladonia cenotea",1875,560
"Clintonia borealis",1876,679
"Quercus rubra",1876,679
"Symphyotrichum lanceolatum",1876,679
"Euphorbia peplus",1876,679
"Spiranthes incurva",1876,679
"Carex cryptolepis",1876,679
"Amelanchier laevis",1876,679
"Uvularia sessilifolia",1876,679
"Vaccinium corymbosum",1876,679
"Carex exilis",1876,679
"Salix discolor",1876,679
"Avenella flexuosa",1876,679
"Bistorta vivipara",1876,679
"Asplenium viride",1876,679
"Calamagrostis pickeringii",1876,679
"Sagittaria latifolia",1876,679
"Salmo salar",1876,679
"Salix myrtilloides",1876,679
"Botrychium lanceolatum",1876,679
"Lygodium palmatum",1876,679
"Malaxis unifolia",1876,679
"Salix uva-ursi",1876,679
"Clematis virginiana",1876,679
"Dryopteris fragrans",1876,679
"Claytosmunda claytoniana",1876,679
"Eleocharis obtusa",1876,679
"Eragrostis hypnoides",1876,679
"Vallisneria americana",1876,679
"Trisetum flavescens",1876,679
"Oryzopsis racemosa",1876,679
"Solidago squarrosa",1876,679
"Viburnum rafinesquianum",1876,679
"Potamogeton gramineus",1876,679
"Neottia cordata",1876,679
"Polygaloides paucifolia",1876,679
"Asplenium platyneuron",1876,679
"Luzula parviflora",1876,679
"Dryopteris mickelii",1876,679
"Carex brevior",1876,679
"Parathelypteris noveboracensis",1876,679
"Oreojuncus trifidus",1876,679
"Carex stricta",1876,679
"Amphicarpaea bracteata",1876,679
"Juncus brevicaudatus",1876,679
"Lysimachia ciliata",1876,679
"Stuckenia pectinata",1876,679
"Polygonatum pubescens",1876,679
"Geum fragarioides",1876,679
"Eleocharis tenuis",1876,679
"Cypripedium parviflorum",1876,679
"Helianthus tuberosus",1876,679
"Salix pedicellaris",1876,679
"Potamogeton nodosus",1876,679
"Medeola virginiana",1876,679
"Streptopus lanceolatus",1876,679
"Populus deltoides",1876,679
"Lasallia pustulata",1876,679
"Vaccinium uliginosum",1876,679
"Juncus tenuis",1876,679
"Cinna latifolia",1876,679
"Woodsia obtusa",1876,679
"Muhlenbergia frondosa",1876,679
"Euphorbia platyphyllos",1876,679
