"species","year","cum_species"
"Dicranum flagellare",1877,894
"Glyceria melicaria",1877,894
"Astragalus canadensis",1877,894
"Sceptridium dissectum",1877,894
"Carex pensylvanica",1877,894
"Maianthemum stellatum",1877,894
"Veronica serpyllifolia",1877,894
"Buglossoides arvensis",1877,894
"Piptatheropsis pungens",1877,894
"Juncus pelocarpus",1877,894
"Rumex pyrenaicus",1877,894
"Plagiomnium cuspidatum",1877,894
"Pinguicula vulgaris",1877,894
"Sceptridium ternatum",1877,894
"Holcus lanatus",1877,894
"Carex laxiflora",1877,894
"Polytrichum juniperinum",1877,894
"Hedwigia ciliata",1877,894
"Carex pellita",1877,894
"Boechera grahamii",1877,894
"Vaccinium angustifolium",1877,894
"Callicladium haldanianum",1877,894
"Carex virescens",1877,894
"Pohlia nutans",1877,894
"Carex emoryi",1877,894
"Ptilidium ciliare",1877,894
"Dicranum polysetum",1877,894
"Huperzia appalachiana",1877,894
"Poa nemoralis",1877,894
"Eriophorum vaginatum",1877,894
"Trichophorum cespitosum",1877,894
"Ceanothus herbaceus",1877,894
"Anomodon rostratus",1877,894
"Pogonatum dentatum",1877,894
"Nephromopsis cucullata",1877,894
"Vaccinium cespitosum",1877,894
"Poa laxa",1877,894
"Brachythecium plumosum",1877,894
"Campanula rapunculoides",1877,894
"Lindera benzoin",1877,894
"Arenaria serpyllifolia",1877,894
"Silene latifolia",1877,894
"Dolichonyx oryzivorus",1877,894
"Gentianella amarella",1877,894
"Quercus alba",1877,894
"Lathyrus palustris",1877,894
"Vicia sativa",1877,894
"Carex tenera",1877,894
"Saxifraga oppositifolia",1877,894
"Carex straminea",1877,894
"Asplenium rhizophyllum",1877,894
"Adlumia fungosa",1877,894
"Neckera pennata",1877,894
"Hedysarum alpinum",1877,894
"Osmorhiza longistylis",1877,894
"Ceratodon purpureus",1877,894
"Icmadophila ericetorum",1877,894
"Weissia controversa",1877,894
"Juniperus communis",1877,894
"Campylium chrysophyllum",1877,894
"Carex hystericina",1877,894
"Agastache scrophulariifolia",1877,894
"Saxifraga paniculata",1877,894
"Stercorarius longicaudus",1877,894
"Tortella humilis",1877,894
"Solidago leiocarpa",1877,894
"Solidago arguta",1877,894
"Rubus odoratus",1877,894
"Salix planifolia",1877,894
"Radula complanata",1877,894
"Poa alsodes",1877,894
"Cypripedium arietinum",1877,894
"Carex chordorrhiza",1877,894
"Veronica arvensis",1877,894
"Rauiella scita",1877,894
"Galium palustre",1877,894
"Gaultheria hispidula",1877,894
"Cladonia amaurocraea",1877,894
"Poa palustris",1877,894
"Polygala senega",1877,894
"Linnaea borealis",1877,894
"Phegopteris hexagonoptera",1877,894
"Carex platyphylla",1877,894
"Prunus serotina",1877,894
"Huperzia selago",1877,894
"Isoetes echinospora",1877,894
"Brotherella recurvans",1877,894
"Salix eriocephala",1877,894
"Poa pratensis",1877,894
"Pterospora andromedea",1877,894
"Juncus brachycephalus",1877,894
"Nowellia curvifolia",1877,894
"Aplectrum hyemale",1877,894
"Eurhynchium pulchellum",1877,894
"Carex baileyi",1877,894
"Malva moschata",1877,894
"Corallorhiza maculata",1877,894
"Carex atratiformis",1877,894
"Cladonia deformis",1877,894
"Calypso bulbosa",1877,894
"Platanthera clavellata",1877,894
"Diapensia lapponica",1877,894
"Hylodesmum glutinosum",1877,894
"Leersia oryzoides",1877,894
"Carex michauxiana",1877,894
"Quercus coccinea",1877,894
"Acer pseudoplatanus",1877,894
"Mnium thomsonii",1877,894
"Bryum argenteum",1877,894
"Homomallium adnatum",1877,894
"Myrica gale",1877,894
"Agrostis mertensii",1877,894
"Viburnum edule",1877,894
"Plantago lanceolata",1877,894
"Campylium hispidulum",1877,894
"Poa interior",1877,894
"Carex diandra",1877,894
"Sagittaria rigida",1877,894
"Bartramia pomiformis",1877,894
"Aulacomnium palustre",1877,894
"Cladonia uncialis",1877,894
"Poa fernaldiana",1877,894
"Carex digitalis",1877,894
"Panax quinquefolius",1877,894
"Carex prairea",1877,894
"Phegopteris connectilis",1877,894
"Dicranella heteromalla",1877,894
"Rumex acetosa",1877,894
"Thamnolia vermicularis",1877,894
"Calamagrostis canadensis",1877,894
"Carex umbellata",1877,894
"Mnium lycopodioides",1877,894
"Carex leptalea",1877,894
"Accipiter gentilis",1877,894
"Hypnum imponens",1877,894
